ID_PDV,Provincia,ISTAT,COMUNE,TITOLARE,C.C.,INDIRIZZO,INSEGNA,Settoremerc.non alim.,Sup.alim.,Sup.non alim.,Sup.totale
13316,MI,15044,Cambiago,GIANCARLO PANIZZA,SI,VIA PAPA GIOVANNI PAOLO II 3/5,RIALTO SPA,,2600.00,1400.00,10
5116,BS,17165,Roncadelle,CONSORZIO OPERATORI C.C. LE RONDINELLE,SI,"VIA MATTEI, 37/39",CENTRO COMMERCIALE LE RONDINELLE,,5533.00,20485.00,10
14544,BG,16083,Cortenuova,ALFA IMMOBILIARE SRL,SI,VIA TRIESTE 15,LE ACCIAIERIE,,5835.00,23241.00,10
1337,CO,13064,Cermenate,GRANCASA S.P.A.,SI,VIA EUROPA UNITA,LA VALLETTA,,0.00,5137.00,10
11025,MN,20045,Porto Mantovano,PORTO MANTOVANO SCARPE SRL,,"VIA KARL MARX, 2",BOSCAINI,A,0.00,2514.00,10
10672,PV,18110,Pavia,S.S.C. S.R.L.,SI,VIA VIGENTINA,CARREFOUR,,3200.00,7900.00,10
8204,MI,15146,Milano,BERALDO STEFANO,,"CORSO VERCELLI, 30",COIN SRL,A,50.00,3450.00,10
4353,MI,15237,Vignate,COOP LOMBARDIA,SI,S.P. CASSANESE,ACQUARIO SHOPPING CENTER,,4900.00,20100.00,10
6794,LC,97045,Malgrate,BRICO BUSINESS COOPERATION SRL,,VIA PROVINCIALE 13,OBI,D,0.00,2253.00,10
118,MI,15002,Abbiategrasso,ESSELUNGA SPA,,"VIA DANTE, 41",ESSELUNGA,,2150.00,1150.00,10
9979,MN,20015,Castel Goffredo,IMMOBILIARE IL PONTE SPA,SI,VIA DONIZETTI/VIA CASTIGLIONE,ITALMARK,,3200.00,7800.00,10
672,BS,17161,Rezzato,ROSSETTO TRADE S.R.L.,SI,"VIA GIUSEPPE MAZZINI, N. 97",CENTRO COMMERCIALE CONTINENTE,,3400.00,3957.00,10
4519,MI,15210,Settala,FERCOLOR ITALIA SNC,,VIA D.MINZONI 3,,D,0.00,1870.00,10
10811,VA,12070,Gallarate,SSC.SRL,,VIALE MILANO 163,CARREFOUR,A,4981.00,3098.00,10
2198,BG,16074,Cisano Bergamasco,RUGIADA,SI,VIA MILANO 7,CISANO 2,,1500.00,3500.00,10
3956,MB,108028,Lissone,SILCO IMMOBILIARE SRL,SI,"VIA VALASSINA,82",,,110.00,3884.00,10
9048,MI,15146,Milano,LEVI BROGLIO FRANCO,,"VIA SORESINA, 14",,D,0.00,3000.00,10
14630,VA,12108,Olgiate Olona,GARDEN PROJECT SRL,,"VIA BUSTO FAGNANO, 52",GIARDINERIA,D,150.00,3600.00,10
10225,CO,13009,Anzano del Parco,BENNET SPA,SI,SS 342 BRIANTEA,,,2350.00,3382.00,10
6072,VA,12133,Varese,UNIEURO SRL,,VIA SAFFI 88,UNIEURO,B,5.00,2595.00,10
12586,MI,15081,Cologno Monzese,ESSELUNGA SPA,,VIALE LOMBARDIA ANG.PERGOLESI,ESSELUNGA,,1964.00,1615.00,10
14663,PV,18137,San Martino Siccomario,FULL MODA TICINO SPA,,VIA VIII MARZO 11,FULL MODA,A,0.00,3050.00,10
14664,PV,18137,San Martino Siccomario,MAX SHOP SRL,,VIA VIII MARZO 11,MAX SHOP,,0.00,2440.00,10
129,CR,19036,Cremona,ECP CREMONAPO S.R.L.,SI,VIA CASTELLEONE,CREMONA PO,,5050.00,13780.00,10
200433,MB,108050,Vimercate,ESSELUNGA SPA,SI,VIA FALCONE E BORSELLINO 6,,,3010.00,1815.00,10
5534,LO,98045,Pieve Fissiraga,BENNET SPA,SI,"VIALE NAZIONI UNITE, 1",CENTROPIEVE,,3500.00,14700.00,10
396,VA,12064,Daverio,RIALTO S.P.A.,SI,SP VARESE-VERGIATE,,,1820.00,5350.00,10
621,BS,17029,Brescia,ESSELUNGA,,"VIA  VOLTA, 54",,,1300.00,1620.00,10
471,BG,16222,Urgnano,CENTRO COMMERCIALE RAMONDA SPA,,"VIA PROVINCIALE, 1263",,A,0.00,1800.00,10
12876,BG,16034,Bottanuco,IL GIGATE S.P.A.,SI,"V.LE PAPA GIOVANNI, 43",IL GIGANTE S.P.A,,3500.00,11200.00,10
2569,LO,98050,Sant'Angelo Lodigiano,CC IL CASTELLO,SI,VIALE TRENTO,,,3583.00,6417.00,10
9479,BS,17029,Brescia,SMA,SI,"VIA VALCAMONICA, 17",S.ANNA,,2300.00,6037.00,10
6077,BS,17170,Salo',G.S. SPA - SSC SRL,SI,VIA MONTALE 1-3-5,CENTRO COMM.LE SALO 2,,953.00,3073.00,10
6652,CO,13075,Como,ESSELUNGA S.P.A.,,"VIA CARLONI, 92",ESSELUNGA,D,1950.00,1150.00,10
1934,BG,16182,Rogno,ARREDAMENTI SRL,,"VIA M. GRAPPA, 1",GIORI,C,0.00,2596.00,10
6144,BS,17085,Iseo,ITALMARK IC S.P.A.,,"VIA ROMA,94",ITALMARK,,1206.00,301.00,10
10224,BS,17195,Verolanuova,VEROLA UNO SRL,SI,VIA DELLE ROBINIE,LE ROBINIE,,3500.00,8200.00,10
