Anno_Incidente,Codice Istat provincia,Provincia,Codice Istat comune,Comune,Numero incidenti,Totale morti,Totale Feriti
2010,16,BG,16024,BERGAMO,1066,6,1386
2010,17,BS,17029,BRESCIA,1003,6,1421
2010,16,BG,16198,SERIATE,99,3,158
2010,16,BG,16091,DALMINE,88,1,124
2010,15,MI,15130,MAGENTA,76,1,101
2010,108,MB,108039,SEREGNO,197,0,227
2010,15,MI,15146,MILANO,12085,58,16294
2010,15,MI,15192,SAN DONATO MILANESE,121,1,177
2010,15,MI,15171,PESCHIERA BORROMEO,56,1,81
2010,13,CO,13075,COMO,485,3,615
2010,18,PV,18110,PAVIA,429,2,589
2010,15,MI,15002,ABBIATEGRASSO,130,0,173
2010,19,CR,19036,CREMONA,459,4,577
2010,15,MI,15209,SESTO SAN GIOVANNI,211,6,271
2010,15,MI,15205,SEGRATE,149,2,208
2010,15,MI,15189,ROZZANO,181,1,259
2010,15,MI,15175,PIOLTELLO,89,1,121
2010,15,MI,15093,CORSICO,150,3,190
2010,18,PV,18182,VOGHERA,186,2,259
2010,108,MB,108024,GIUSSANO,120,1,171
2010,108,MB,108027,LIMBIATE,90,1,99
2010,108,MB,108034,MUGGIO',58,1,67
2010,15,MI,15086,CORMANO,107,1,140
2010,108,MB,108012,BRUGHERIO,124,1,145
2010,12,VA,12040,CASSANO MAGNAGO,80,2,119
2010,12,VA,12070,GALLARATE,350,2,484
2010,15,MI,15116,LAINATE,97,0,133
2010,15,MI,15118,LEGNANO,245,2,345
2010,15,MI,15032,BRESSO,92,1,121
2010,15,MI,15168,PARABIAGO,89,1,111
2010,20,MN,20017,CASTIGLIONE DELLE STIVIERE,61,2,91
2010,108,MB,108040,SEVESO,41,0,48
2010,108,MB,108050,VIMERCATE,145,3,186
2010,16,BG,16219,TREVIGLIO,148,1,210
2010,15,MI,15027,BOLLATE,125,0,172
2010,17,BS,17096,LUMEZZANE,37,0,53
2010,12,VA,12119,SARONNO,194,2,253
2010,15,MI,15074,CESANO BOSCONE,89,2,109
2010,15,MI,15206,SENAGO,62,1,79
2010,20,MN,20030,MANTOVA,297,3,391
2010,15,MI,15070,CERNUSCO SUL NAVIGLIO,103,0,135
2010,18,PV,18177,VIGEVANO,285,4,390
2010,15,MI,15105,GARBAGNATE MILANESE,81,1,110
2010,15,MI,15157,NOVATE MILANESE,83,0,120
2010,17,BS,17113,MONTICHIARI,89,1,134
2010,15,MI,15182,RHO,250,4,353
