,titleType,primaryTitle,startYear,runtimeMinutes,genres,PolloRating
172784,movie,Inception,2010,148,"Action,Adventure,Sci-Fi",0.8722117637175042
69803,movie,The Matrix,1999,136,"Action,Sci-Fi",0.8504966771388166
141241,movie,Interstellar,2014,169,"Adventure,Drama,Sci-Fi",0.8366715367585335
137194,movie,The Prestige,2006,130,"Drama,Mystery,Sci-Fi",0.8100910983284914
56940,movie,Terminator 2: Judgment Day,1991,137,"Action,Sci-Fi",0.8084660472909102
48682,movie,Back to the Future,1985,116,"Adventure,Comedy,Sci-Fi",0.803900007466812
233735,movie,Avengers: Infinity War,2018,149,"Action,Adventure,Sci-Fi",0.7869914202231585
42666,movie,Alien,1979,117,"Horror,Sci-Fi",0.7861977529615156
117391,movie,Eternal Sunshine of the Spotless Mind,2004,108,"Drama,Romance,Sci-Fi",0.7754727417376243
131445,movie,V for Vendetta,2005,132,"Action,Drama,Sci-Fi",0.7723864646647504
49760,movie,Aliens,1986,137,"Action,Adventure,Sci-Fi",0.7655758986617852
142532,movie,The Avengers,2012,143,"Action,Adventure,Sci-Fi",0.7649282857843415
35209,movie,A Clockwork Orange,1971,136,"Crime,Sci-Fi",0.7646900238397958
59141,movie,Jurassic Park,1993,127,"Action,Adventure,Sci-Fi",0.7643551817595845
173821,movie,Mad Max: Fury Road,2015,120,"Action,Adventure,Sci-Fi",0.7561759745241938
32302,movie,2001: A Space Odyssey,1968,149,"Adventure,Sci-Fi",0.7524882348615786
48475,movie,The Terminator,1984,107,"Action,Sci-Fi",0.7484270911784457
45713,movie,Blade Runner,1982,117,"Action,Drama,Sci-Fi",0.7420100950242347
223362,movie,Logan,2017,137,"Action,Drama,Sci-Fi",0.7406929129911655
122964,movie,Iron Man,2008,126,"Action,Adventure,Sci-Fi",0.7405861969474441
227910,movie,The Martian,2015,144,"Adventure,Drama,Sci-Fi",0.7382894967089161
98251,movie,Donnie Darko,2001,113,"Drama,Mystery,Sci-Fi",0.7352663901307167
212495,movie,Star Wars: Episode VII - The Force Awakens,2015,138,"Action,Adventure,Sci-Fi",0.7247559949403861
62812,movie,12 Monkeys,1995,129,"Mystery,Sci-Fi,Thriller",0.7215269676996449
193436,movie,Her,2013,126,"Drama,Romance,Sci-Fi",0.7202322225093615
196423,movie,X-Men: Days of Future Past,2014,132,"Action,Adventure,Sci-Fi",0.7199055220841858
195200,movie,Captain America: The Winter Soldier,2014,136,"Action,Adventure,Sci-Fi",0.7191464657000385
213268,movie,Arrival,2016,116,"Drama,Mystery,Sci-Fi",0.7177247739240039
156662,movie,District 9,2009,112,"Action,Sci-Fi,Thriller",0.7177040927793126
46428,movie,The Thing,1982,109,"Horror,Mystery,Sci-Fi",0.7176640659900753
187225,movie,Edge of Tomorrow,2014,113,"Action,Adventure,Sci-Fi",0.7166798208754873
225796,movie,Captain America: Civil War,2016,147,"Action,Adventure,Sci-Fi",0.7150095424147541
140312,movie,Star Trek,2009,127,"Action,Adventure,Sci-Fi",0.7115338484435278
177763,movie,Gravity,2013,91,"Action,Drama,Sci-Fi",0.7094776549796554
229181,movie,Rogue One: A Star Wars Story,2016,133,"Action,Adventure,Sci-Fi",0.7035064499033565
90033,movie,Children of Men,2006,109,"Action,Drama,Sci-Fi",0.7011502638613395
165274,movie,X-Men: First Class,2011,131,"Action,Adventure,Sci-Fi",0.7003073848625617
53417,movie,Back to the Future Part II,1989,108,"Adventure,Comedy,Sci-Fi",0.6950766538597667
45857,movie,E.T. the Extra-Terrestrial,1982,115,"Adventure,Family,Sci-Fi",0.6899529139590138
135754,movie,Ex Machina,2014,108,"Drama,Sci-Fi,Thriller",0.6871656951319342
174842,movie,Star Trek Into Darkness,2013,132,"Action,Adventure,Sci-Fi",0.6819928058176895
73343,movie,Spider-Man,2002,121,"Action,Adventure,Sci-Fi",0.6808785238044242
2736,movie,Metropolis,1927,153,"Drama,Sci-Fi",0.6774503441000356
168481,movie,Rise of the Planet of the Apes,2011,105,"Action,Drama,Sci-Fi",0.6773638495054322
159828,movie,Moon,2009,97,"Drama,Mystery,Sci-Fi",0.6748749405218784
210728,movie,Avengers: Age of Ultron,2015,141,"Action,Adventure,Sci-Fi",0.6740365098610278
108757,movie,The Butterfly Effect,2004,113,"Drama,Sci-Fi,Thriller",0.6733228263174651
64867,movie,The Fifth Element,1997,126,"Action,Adventure,Sci-Fi",0.671579860549325
113815,movie,Spider-Man 2,2004,127,"Action,Adventure,Sci-Fi",0.6695030038750858
206562,movie,Spider-Man: Homecoming,2017,133,"Action,Adventure,Sci-Fi",0.6691922403254856
173820,movie,The Hunger Games,2012,142,"Action,Adventure,Sci-Fi",0.668378400162399
258638,movie,A Quiet Place,2018,90,"Drama,Horror,Sci-Fi",0.6672587172398623
194364,movie,Black Panther,2018,134,"Action,Adventure,Sci-Fi",0.6670312909579867
64905,movie,Gattaca,1997,106,"Drama,Sci-Fi,Thriller",0.6659481890869321
124325,movie,Serenity,2005,119,"Action,Adventure,Sci-Fi",0.6649841175127646
165596,movie,Looper,2012,119,"Action,Drama,Sci-Fi",0.6638748979709731
208989,movie,PK,2014,153,"Comedy,Drama,Sci-Fi",0.6637928967268963
162134,movie,Limitless,2011,105,"Sci-Fi,Thriller",0.6634174243596398
108881,movie,X2: X-Men United,2003,134,"Action,Sci-Fi,Thriller",0.66153063355532
136934,movie,I Am Legend,2007,101,"Action,Drama,Sci-Fi",0.6588686606389718
65962,movie,X-Men,2000,104,"Action,Adventure,Sci-Fi",0.6580743414265655
108544,movie,28 Days Later...,2002,113,"Drama,Horror,Sci-Fi",0.6557605649054752
167236,movie,Iron Man 3,2013,130,"Action,Adventure,Sci-Fi",0.6550886023241433
32890,movie,Planet of the Apes,1968,112,"Adventure,Sci-Fi",0.6548398985523174
255803,movie,Spider-Man: Far from Home,2019,129,"Action,Adventure,Sci-Fi",0.6539816029483362
48728,movie,Brazil,1985,132,"Drama,Sci-Fi",0.6526027915461918
48023,movie,Nausicaä of the Valley of the Wind,1984,117,"Adventure,Animation,Sci-Fi",0.6512601871394516
54668,movie,Back to the Future Part III,1990,118,"Adventure,Comedy,Sci-Fi",0.6507263105554337
139489,movie,Man of Steel,2013,143,"Action,Adventure,Sci-Fi",0.6506786092888861
188976,movie,Ready Player One,2018,140,"Action,Adventure,Sci-Fi",0.6490861874745081
95509,movie,The Matrix Reloaded,2003,138,"Action,Sci-Fi",0.6474349027633015
43480,movie,Stalker,1979,162,"Drama,Sci-Fi",0.6465517409357275
259202,movie,Tenet,2020,150,"Action,Adventure,Sci-Fi",0.6456523696889312
55707,movie,Total Recall,1990,113,"Action,Adventure,Sci-Fi",0.6444442101169399
172580,movie,Cloud Atlas,2012,172,"Drama,Mystery,Sci-Fi",0.6409942613241264
156066,movie,Don't Look Up,2021,138,"Comedy,Drama,Sci-Fi",0.6403822070150954
